Txhash,Blockno,UnixTimestamp,DateTime,From,To,Quantity,Method
0x7fc59209c1a2c77c4ca2f53c63242c6f44c0e5d4467182ed3d2a572337d8a1bf,14814063,1653091211,5/21/22 0:00,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,0xbe03a2569d10fd10bdbfe84f5f2e22d9cec4acd0,1202.764028,Earn
0x7fc59209c1a2c77c4ca2f53c63242c6f44c0e5d4467182ed3d2a572337d8a1bf,14814063,1653091211,5/21/22 0:00,0xbe03a2569d10fd10bdbfe84f5f2e22d9cec4acd0,0xfa9c34485c3a706725130e8e0217431ac000e31e,1202.764028,Earn
0x538460d2a9998bb492bfa3dfa59f0f9012a757d35928f2d5cd3753553c9e42cd,14814065,1653091266,5/21/22 0:01,0x3058ef90929cb8180174d74c507176cca6835d73,0x68cb5960cdaf31e7a63d4dae27972693f6196abc,1494051.917,-
0x538460d2a9998bb492bfa3dfa59f0f9012a757d35928f2d5cd3753553c9e42cd,14814065,1653091266,5/21/22 0:01,0x68cb5960cdaf31e7a63d4dae27972693f6196abc,0x89b78cfa322f6c5de0abceecab66aee45393cc5a,1494051,-
0x538460d2a9998bb492bfa3dfa59f0f9012a757d35928f2d5cd3753553c9e42cd,14814065,1653091266,5/21/22 0:01,0x89b78cfa322f6c5de0abceecab66aee45393cc5a,0x0000000000000000000000000000000000000000,1494051,-
0x3f93945470290b4ae43f69ab3ad650bd4642f2371713795d56c8f4ef28756e38,14814065,1653091266,5/21/22 0:01,0x3058ef90929cb8180174d74c507176cca6835d73,0x27239549dd40e1d60f5b80b0c4196923745b1fd2,67677.29877,-
0x3f93945470290b4ae43f69ab3ad650bd4642f2371713795d56c8f4ef28756e38,14814065,1653091266,5/21/22 0:01,0x27239549dd40e1d60f5b80b0c4196923745b1fd2,0xee72834e899f25186aa869a97077dbd320ca9317,67677.29877,-
0xd84c999fdce9ce264241b4ae9036fd8d574055fb54e29379d6adf4e156d8ae57,14814065,1653091266,5/21/22 0:01,0xba12222222228d8ba445958a75a0704d566bf2c8,0x68cb5960cdaf31e7a63d4dae27972693f6196abc,1494051.917,-
0xd84c999fdce9ce264241b4ae9036fd8d574055fb54e29379d6adf4e156d8ae57,14814065,1653091266,5/21/22 0:01,0x68cb5960cdaf31e7a63d4dae27972693f6196abc,0x3058ef90929cb8180174d74c507176cca6835d73,1494051.917,-
0xd84c999fdce9ce264241b4ae9036fd8d574055fb54e29379d6adf4e156d8ae57,14814065,1653091266,5/21/22 0:01,0x0000000000000000000000000000000000000000,0x68cb5960cdaf31e7a63d4dae27972693f6196abc,1494556.937,-
